What is your currently active carrier field? ;AVERAGE;From a scale of 1 to 5, how useful do you consider the following features available on Discord given your field of study or work?  [Real-time voice communication];From a scale of 1 to 5, how useful do you consider the following features available on Discord given your field of study or work?  [Ability to make group video calls];From a scale of 1 to 5, how useful do you consider the following features available on Discord given your field of study or work?  [Screen sharing ];From a scale of 1 to 5, how useful do you consider the following features available on Discord given your field of study or work?  [Ability to share files with other users];From a scale of 1 to 5, how useful do you consider the following features available on Discord given your field of study or work?  [Ability to use Discord on different devices];From a scale of 1 to 5, how useful do you consider the following features available on Discord given your field of study or work?  [Profile customization];From a scale of 1 to 5, how useful do you consider the following features available on Discord given your field of study or work?  [Create servers to organize and manage online communities];From a scale of 1 to 5, how useful do you consider the following features available on Discord given your field of study or work?  [Integrate multiple team calls simultaneously ];From a scale of 1 to 5, how useful do you consider the following features available on Discord given your field of study or work?  [Real-time text messaging];;;;;
Others;4,0;5;5;4;4;4;4;4;5;1;;;;;
Others;4,4;5;5;5;5;5;2;5;3;5;;;;;
Others;3,3;5;5;5;2;3;1;5;2;2;;;;;
Others;4,6;5;4;5;5;4;3;5;5;5;;;;;
Others;4,4;5;5;5;3;4;;5;4;4;;;;;
Others;4,5;5;5;5;4;5;2;5;;5;;;;;
Others;4,3;5;5;5;5;5;2;3;4;5;;;;;
Others;4,2;5;5;5;2;5;3;5;3;5;;;;;
Others;4,6;5;5;5;3;5;3;5;5;5;;;;;
Others;4,2;4;5;5;4;4;3;5;5;3;;;;;
Others;4,7;4;5;5;5;5;4;4;5;5;;;;;
Others;4,4;5;5;5;5;4;3;4;5;4;;;;;
Others;4,1;5;5;3;4;5;4;3;3;5;;;;;
Others;2,7;3;3;3;2;2;2;3;3;3;;;;;
Others;3,7;4;4;3;3;4;4;4;3;4;;;;;
Others;4,7;5;5;5;4;5;4;5;5;4;;;;;
Others;4,9;5;5;5;5;5;4;5;5;5;;;;;
Others;5,0;5;5;5;5;5;5;5;5;5;;;;;
Others;3,2;3;4;4;3;2;2;4;4;3;;;;;
Others;5,0;5;5;5;5;5;5;5;5;5;;;;;
Others;4,2;4;5;5;2;4;3;5;5;5;;;;;
Science and technology;4,1;5;5;5;2;4;3;5;4;4;;;;;
Science and technology;4,2;5;5;5;5;3;1;5;4;5;;;;;
Science and technology;3,2;1;5;5;5;4;3;2;1;3;;;;;
Science and technology;4,0;5;3;3;3;4;5;5;3;5;;;;;
Science and technology;3,7;5;3;4;4;2;1;4;5;5;;;;;
Science and technology;4,7;5;5;5;5;5;2;5;5;5;;;;;
Science and technology;2,8;3;3;3;2;3;2;3;3;3;;;;;
Science and technology;4,4;5;5;5;3;4;4;5;5;4;;;;;
Science and technology;4,1;5;5;5;4;4;3;3;3;5;;;;;
Science and technology;3,9;5;5;5;2;3;3;4;4;4;;;;;
Science and technology;4,4;5;5;5;5;3;3;4;5;5;;;;;
Science and technology;4,1;4;4;5;4;3;3;5;4;5;;;;;
Science and technology;4,2;5;5;5;3;4;3;3;5;5;;;;;
Science and technology;4,4;5;5;5;5;4;2;5;4;5;;;;;
Science and technology;4,2;5;5;5;3;4;3;5;4;4;;;;;
Science and technology;3,6;4;4;4;2;3;3;4;5;3;;;;;
Science and technology;4,2;5;5;5;2;5;1;5;5;5;;;;;
Science and technology;3,2;5;1;4;4;3;1;3;3;5;;;;;
Science and technology;3,0;3;3;3;3;3;3;3;3;3;;;;;
Science and technology;3,2;5;2;3;3;4;1;4;2;5;;;;;
Science and technology;4,3;5;4;5;4;5;3;4;4;5;;;;;
Science and technology;2,9;3;3;3;3;3;2;3;3;3;;;;;
Science and technology;5,0;5;5;5;5;5;5;5;5;5;;;;;
Science and technology;4,0;4;4;4;3;4;;5;;4;;;;;
Science and technology;4,7;5;5;5;3;5;4;5;5;5;;;;;
Science and technology;4,9;5;5;5;5;5;4;5;5;5;;;;;
Science and technology;3,7;2;2;4;4;5;2;4;5;5;;;;;
Science and technology;2,8;3;3;3;3;3;2;2;3;3;;;;;
Science and technology;3,2;5;1;5;2;2;2;4;5;3;;;;;
Science and technology;4,4;5;3;5;5;5;2;5;5;5;;;;;
Science and technology;4,8;5;5;5;3;5;5;5;5;5;;;;;
Science and technology;4,1;4;4;5;4;4;3;5;;4;;;;;
Science and technology;4,4;4;5;5;5;4;2;5;;5;;;;;
Science and technology;4,0;4;2;5;5;3;3;5;;5;;;;;
Science and technology;3,6;5;5;5;2;3;1;5;;3;;;;;
Science and technology;4,7;5;5;5;5;5;3;5;5;4;;;;;
Science and technology;5,0;5;5;5;5;5;5;5;5;5;;;;;
Science and technology;4,3;5;4;5;3;5;3;4;5;5;;;;;
